velocity,mean,rms,std,zero crossing rate,peak velocity,low peak velocity,crest factor,low crest factor
-0.329,0.012905109489051098,0.11360065796046737,0.16854189413413104,0.0948905109489051,0.303,-0.397,2.667238072735837,-3.49469806889811
-0.338,0.015260869565217394,0.12353489209619035,0.1709709309539313,0.09420289855072464,0.303,-0.397,2.452748327687608,-3.2136669507986153
-0.217,0.01671223021582734,0.12927579129839947,0.17176662543754584,0.09352517985611511,0.303,-0.397,2.3438263031057645,-3.0709539350923714
-0.157,0.017714285714285717,0.13309502512973848,0.17198422447825776,0.09285714285714286,0.303,-0.397,2.2765689379046394,-2.9828312486737354
-0.127,0.01848936170212766,0.1359755923029117,0.17197105763982867,0.09219858156028368,0.303,-0.397,2.2283410931942065,-2.919641630356766
-0.112,0.019147887323943662,0.13837589141155934,0.1718595134769825,0.09154929577464789,0.303,-0.397,2.1896877910532373,-2.868996874746321
-0.112,0.0197972027972028,0.1407025330162993,0.17175687491165262,0.09090909090909091,0.303,-0.397,2.1534793546673376,-2.8215554580954887
-0.115,0.020458333333333335,0.143032630309777,0.1716840353268501,0.09027777777777778,0.303,-0.397,2.1183977344454137,-2.7755904309400306
-0.134,0.021241379310344827,0.14574422565009162,0.17176315579444304,0.0896551724137931,0.303,-0.397,2.0789845954340183,-2.7239501134894564
-0.1,0.02178082191780822,0.14758327113127767,0.17160389722192407,0.08904109589041095,0.303,-0.397,2.053078222737567,-2.690006780286515
0.013,0.021544217687074832,0.1467794866017552,0.17096096169428468,0.09523809523809523,0.303,-0.397,2.0643211596870152,-2.7047376250684656
0.075,0.020891891891891893,0.14454027774946296,0.17027781729306116,0.0945945945945946,0.303,-0.397,2.0963014926898174,-2.7466392494978797
0.085,0.020181208053691276,0.1420605788165432,0.16961618096351136,0.09395973154362416,0.303,-0.397,2.1328929005089705,-2.7945824472015226
0.088,0.01946,0.13949910393977447,0.16897294102902988,0.09333333333333334,0.303,-0.397,2.1720569626799415,-2.8458964164486367
0.105,0.018635761589403974,0.13651286235884139,0.16837192942450585,0.09271523178807947,0.303,-0.397,2.2195710701862366,-2.9081508741384026
0.121,0.019774834437086095,0.14062302242906777,0.16735826200155632,0.09271523178807947,0.303,-0.397,2.1546969675810903,-2.8231508123092177
0.12,0.020933774834437088,0.14468508850063674,0.16634110781973033,0.09271523178807947,0.303,-0.397,2.0942033705060528,-2.743890224722452
0.114,0.021874172185430463,0.14789919602699153,0.16565683375811707,0.09271523178807947,0.303,-0.397,2.0486926781177544,-2.6842607036724373
0.066,0.021827814569536426,0.14774239259446298,0.16565597940612894,0.08609271523178808,0.303,-0.397,2.0508670171039025,-2.6871095900668296
-0.038,0.02072847682119205,0.14397387548160273,0.16442479303693336,0.09271523178807947,0.303,-0.397,2.1045484744120673,-2.7574447007973295
-0.123,0.019019867549668872,0.13791253586845859,0.16115405773120153,0.09271523178807947,0.303,-0.397,2.1970446565423347,-2.878636068142927
-0.221,0.01841059602649007,0.13568565151293657,0.15992768172891444,0.09271523178807947,0.303,-0.397,2.2331027387307145,-2.9258804860597154
-0.217,0.018145695364238414,0.13470595890397133,0.15944356089814685,0.09271523178807947,0.303,-0.397,2.2493436999027003,-2.9471598972322512
-0.043,0.017019867549668877,0.13046021443209757,0.15816215123986155,0.09271523178807947,0.303,-0.397,2.322547155996793,-3.0430733364050395
0.002,0.01567549668874172,0.1252018238235439,0.15689446197551965,0.09933774834437085,0.303,-0.397,2.420092541359782,-3.170880326468097
0.0,0.014245033112582782,0.1193525580479228,0.15549434517678426,0.10596026490066225,0.303,-0.397,2.538697158701354,-3.326279775592203
-0.021,0.013033112582781456,0.11416265844303669,0.15429398053197754,0.11258278145695365,0.303,-0.397,2.6541077803578546,-3.477494352482074
-0.042,0.011966887417218543,0.10939326952431097,0.15318433462799688,0.11258278145695365,0.303,-0.397,2.769823055088987,-3.62910809528161
-0.064,0.011026490066225166,0.10500709531372233,0.1521402785485371,0.11258278145695365,0.303,-0.397,2.885519298431674,-3.7806969025655928
-0.105,0.01094039735099338,0.10459635438672506,0.15205851542870247,0.10596026490066225,0.303,-0.397,2.8968504856270165,-3.7955433755575103
-0.096,0.011715231788079475,0.10823692432843551,0.1524223336067088,0.10596026490066225,0.303,-0.397,2.7994143577156065,-3.667879537997016
-0.008,0.012483443708609272,0.11172933235551563,0.15235325964020136,0.10596026490066225,0.303,-0.397,2.7119109513325763,-3.5532298603268413
0.086,0.012940397350993378,0.11375586732557305,0.15210602369895407,0.11258278145695365,0.303,-0.397,2.663598872951353,-3.4899298764412117
0.1,0.013609271523178812,0.11665878245198177,0.15161855586651982,0.11258278145695365,0.303,-0.397,2.597318381277626,-3.40308712002382
0.076,0.014781456953642386,0.12157901526843515,0.15067307347787395,0.11258278145695365,0.303,-0.397,2.4922064003479893,-3.265366141710072
